인허가일자,상태코드,폐업일자,사업장명,구명,동명
20190109,1,0,홈플러스(주)베이커리행사매대,상당구,서문동
20190214,1,0,미쓰콩,청원구,주중동
20190521,1,0,파리바게뜨분평주은,서원구,분평동
20190520,1,0,종달새빵집,상당구,수동
20190513,1,0,뚜레쥬르 테크노폴리스점,흥덕구,송절동
20190620,1,0,베이커리팩토리 청주점,흥덕구,가경동
20190404,1,0,청주마카롱,상당구,용암동
20190806,1,0,뚜레쥬르,흥덕구,옥산면
20160720,1,0,안셈,상당구,북문로2가
20190820,1,0,오송빵집,흥덕구,오송읍
20191216,1,0,식빵공장,흥덕구,가경동
20191227,1,0,선물같은오늘,서원구,사창동
20191129,1,0,프레레(frere),흥덕구,봉명동
20200107,1,0,본정,상당구,대성동
20191111,1,0,용수베이커리,청원구,오창읍
20141226,1,0,김관식빵집,상당구,영동
20200116,1,0,흥덕제과,서원구,사직동
20200310,1,0,구움(GUUM),청원구,우암동
20200114,1,0,LEVAIN200(르뱅200),청원구,주중동
20200210,1,0,파리바게뜨 옥산파크자이,흥덕구,옥산면
20200311,1,0,빵굽는 마을,흥덕구,오송읍
20200203,1,0,브리스브레드,상당구,용암동
20200407,1,0,파리바게뜨청주동남씨티점,상당구,용암동
20200421,1,0,모린인더가든,상당구,북문로3가
20200526,1,0,라비도레,흥덕구,가경동
20180706,1,0,오아마카롱,청원구,우암동
20200622,1,0,빨간기린,상당구,용담동
20200729,1,0,바누아투,상당구,용정동
20200715,1,0,아르떼 베이커리,청원구,주중동
20200810,1,0,베즐리 충청점,흥덕구,복대동
20200807,1,0,예이크,서원구,모충동
20200720,1,0,뚜레쥬르청주동남점,상당구,용암동
20200820,1,0,샤또드갸또,흥덕구,복대동
20210715,1,0,달에뜨,청원구,율량동
20210714,1,0,듀레베이커리 테크노점,흥덕구,송절동
20210726,1,0,뚜레쥬르 성화중앙점,서원구,성화동
20210826,1,0,Tandem 베이크샵,흥덕구,오송읍
20200917,1,0,이월케이크,청원구,율량동
20210713,1,0,시무룩,흥덕구,복대동
20210813,1,0,애플베리(Apple Berry),흥덕구,복대동
20210809,1,0,해쌀나비,청원구,우암동
20210823,1,0,모노케이크,청원구,오창읍
20210727,1,0,잇츠베이글,청원구,오창읍
20210506,1,0,팔봉제과,상당구,수동
20210506,1,0,이마트24 청주공항점,청원구,내수읍
20210623,1,0,행복한날엔,상당구,용암동
20210503,1,0,에제르케이크전문점,서원구,수곡동
20210512,1,0,파리바게뜨청주동남우미린점,상당구,방서동
20210629,1,0,듀레베이커리청주점,상당구,용담동
20210514,1,0,오버 더 레인보우 베이킹 스튜디오,흥덕구,옥산면
20110121,1,0,파리바게뜨터미널점,흥덕구,가경동
20160512,1,0,마미브레드,청원구,율량동
20180910,1,0,마블스퀘어,흥덕구,복대동
20200916,1,0,팥고당(현대충청점),흥덕구,복대동
20130708,1,0,아뮤즈(AMUSE),흥덕구,복대동
20200925,1,0,파리바게트 청주공항점,청원구,내수읍
20201016,1,0,좋은아침페스츄리오창점,청원구,오창읍
20201020,1,0,파리바게뜨 청주공군비행단점,청원구,내수읍
20201028,1,0,베이커리블루메(Bakery Blume),청원구,율량동
20201027,1,0,파리바게뜨 청주다농엘(L)마트점,흥덕구,화계동
20201105,1,0,브리스브레드,상당구,지북동
20201113,1,0,타임,흥덕구,석곡동
20210311,1,0,미쓰홍당무,상당구,금천동
20210303,1,0,컴히어(Come here),흥덕구,송절동
20210303,1,0,호노레드베이커리,흥덕구,가경동
20190410,1,0,크렘제이에이치,상당구,북문로2가
20210305,1,0,뚜레쥬르율량점,청원구,율량동
20210302,1,0,덕의제과,상당구,용암동
20210215,1,0,다다팝,흥덕구,강내면
20210209,1,0,칼미아(Kalmia),서원구,사창동
20210222,1,0,뚜레쥬르(서청주파크자이점),흥덕구,비하동
20210322,1,0,빵집바루,청원구,내덕동
20210330,1,0,보시엘드,상당구,금천동
20210402,1,0,델리스베이커리,상당구,용암동
20210402,1,0,에디스베이커리카페,청원구,율량동
20210420,1,0,"알오알오케이크(R,oro cake)",흥덕구,가경동
20181024,1,0,파리바게뜨테크노폴리스점,흥덕구,송절동
20181030,1,0,파리바게뜨청주방서점,상당구,방서동
20000831,1,0,파리바게뜨청주하나로클럽점,상당구,방서동
20170522,1,0,강내농협베이커리,흥덕구,강내면
19990512,1,0,파리바게트충북대,서원구,개신동
19900820,1,0,파리바게뜨공단오거리점,흥덕구,복대동
19940825,1,0,파리바게뜨운천점,흥덕구,운천동
20010917,1,0,빵굽는마을,흥덕구,옥산면
20170608,1,0,빵×빵연구소,청원구,우암동
20170619,1,0,율량제과,청원구,율량동
20170621,1,0,몽블랑제오창점,청원구,오창읍
20170621,1,0,바누아투 롯데아울렛점,흥덕구,비하동
20170621,1,0,언네임드(UNNAMED),흥덕구,강서동
20170622,1,0,뚜레쥬르 가경점,흥덕구,가경동
20020912,1,0,파리바게트 개신2호,서원구,개신동
20170807,1,0,마듀현대백화점충청점,흥덕구,복대동
20171025,1,0,시월애(愛)케이크,서원구,성화동
20171030,1,0,식빵이 맛있는 집 네모(오송점),흥덕구,오송읍
20030317,1,0,파리바게뜨청주용암롯데점,상당구,용암동
20171114,1,0,본정(율량점),청원구,율량동
20171215,1,0,제제마카롱,청원구,율량동
20180226,1,0,브래드브로,흥덕구,복대동
20180501,1,0,브레드홈(BREAD HOME),서원구,산남동
20180510,1,0,식빵이맛있는집네모율량점,청원구,주성동
20180514,1,0,꽃송아리,흥덕구,봉명동
20180529,1,0,서원대학교 학교기업사업단 서원식품센터(몽뺑),서원구,모충동
20180619,1,0,애플베리,상당구,대성동
20180703,1,0,애플베리(Apple Berry),상당구,북문로1가
20180731,1,0,수제빵연구소,청원구,주중동
20030529,1,0,파리바게뜨 금천부영점,상당구,금천동
20030712,1,0,파리베이커리,흥덕구,운천동
20010519,1,0,파리바게뜨 사직위브,서원구,사직동
20140808,1,0,청주떡집 떡미당,흥덕구,비하동
20140826,1,0,1004베이커리,청원구,내수읍
20140901,1,0,좋은아침오창점,청원구,오창읍
20141010,1,0,가토주니,상당구,영동
20141014,1,0,블링제이플라워케이크,서원구,수곡동
20151117,1,0,로뎀베이커리,흥덕구,봉명동
20160120,1,0,본정 초콜릿 카페 본점,서원구,사창동
20160128,1,0,파리바게뜨청주사천점,청원구,율량동
19990812,1,0,파리바게뜨분평점1,서원구,분평동
19990821,1,0,파리바게뜨,흥덕구,복대동
20000524,1,0,파리바게뜨청주원평점,서원구,분평동
20000719,1,0,청주산남 파리바게뜨,서원구,수곡동
20000814,1,0,파리바게뜨,흥덕구,가경동
20001028,1,0,빵마을,청원구,우암동
20001219,1,0,쁘띠 르뽀미에,흥덕구,봉명동
20120801,1,0,본정케익초콜릿,흥덕구,복대동
20120802,1,0,그래인스,흥덕구,복대동
20120802,1,0,앤티앤스(프레즐),흥덕구,복대동
20120806,1,0,(주)현대그린푸드 카페베즐리익스프레스,흥덕구,복대동
20120905,1,0,선물같은오늘(용암점),상당구,용암동
20121008,1,0,좋은아침 산남점,서원구,산남동
20000217,1,0,꾸쉬꾸떼과자점,서원구,분평동
20121018,1,0,선물같은오늘,흥덕구,복대동
20121019,1,0,뚜레쥬르청주수곡사거리점,서원구,수곡동
20121031,1,0,베이커리팩토리 서청주점,흥덕구,비하동
20161226,1,0,경화베이커리,흥덕구,오송읍
20161226,1,0,뚜레쥬르청주가마지구점,서원구,남이면
20170113,1,0,(주)신세계푸드 E.Bakery(이베이커리) 청주점 1,서원구,미평동
20170120,1,0,브레드99베이커리,청원구,오창읍
20170215,1,0,선물같은오늘(비하점),흥덕구,비하동
20170306,1,0,좋은아침,흥덕구,봉명동
20170309,1,0,제과점446℉(Bakery446℉),상당구,용정동
19760221,1,0,서문우동,상당구,서문동
19960703,1,0,파리바게뜨,청원구,우암동
20120330,1,0,몽블랑제(주)동청주점행사매대2,청원구,율량동
20120416,1,0,뚜레쥬르 금천뉴타운점,상당구,금천동
20120508,1,0,쁘띠앙쥬,흥덕구,복대동
20120523,1,0,몽블랑제3점행사매대,청원구,오창읍
20160427,1,0,빵장수 단팥빵 청주점,흥덕구,강서동
20170410,1,0,슈엣,흥덕구,복대동
20170417,1,0,프레티올라,상당구,용담동
20170421,1,0,미스터베이커리 오송역점,흥덕구,오송읍
20170427,1,0,못난이꽈배기오창점,청원구,오창읍
20070410,1,0,우리베이커리,서원구,모충동
19850401,1,0,뚜레쥬르청주남문점,상당구,남문로2가
19860630,1,0,맥아당제과,서원구,사직동
20090409,1,0,뚜레쥬르금천장자점,상당구,용담동
20090424,1,0,파리바게뜨 충대중문점,서원구,사창동
19970807,1,0,파리바게뜨(가경2호점),흥덕구,가경동
19980430,1,0,청주가경2호 뚜레쥬르,흥덕구,가경동
19980629,1,0,(주)신세계푸드 E.Bakery(이베이커리)청주점,서원구,미평동
19981128,1,0,뚜레쥬르청주흥덕(3)점,서원구,사창동
20160503,1,0,보키네빵집,서원구,사창동
20160719,1,0,좋은아침 오송점,흥덕구,오송읍
20160801,1,0,PAO(파오),서원구,성화동
20160804,1,0,계룡산업(주)죽암(하)휴게소-꽈배기,서원구,현도면
20160812,1,0,선물같은오늘(가경점),흥덕구,가경동
20160822,1,0,뚜레쥬르 청주서원대점,서원구,모충동
20160922,1,0,하나로베이커리,청원구,오창읍
20161024,1,0,떡 꽃닮,청원구,율량동
20161110,1,0,세화플라워케이크,청원구,율량동
20070430,1,0,뚜레쥬르산남점,서원구,산남동
20070620,1,0,파리바게트산남계룡점,서원구,산남동
20070813,1,0,뚜레쥬르(산남계룡점),서원구,산남동
20080408,1,0,파리바게뜨충북내수점,청원구,내수읍
20090810,1,0,뚜레쥬르청주복대어울림점,흥덕구,복대동
20090814,1,0,파리바게뜨신봉점,흥덕구,봉명동
20090820,1,0,파리바게뜨 청주국립현대미술관점,청원구,내덕동
20090910,1,0,뚜레쥬르용암현대점(2),상당구,용암동
20091007,1,0,하나로 베이커리,서원구,산남동
19980414,1,0,봉명파리바게뜨,흥덕구,봉명동
20110408,1,0,지희베이커리,서원구,수곡동
20110412,1,0,파리바게뜨산남대원점,서원구,산남동
20110513,1,0,몽블랑제청주1호점,흥덕구,가경동
20110517,1,0,뚜레쥬르산남계룡점(2),서원구,산남동
20110620,1,0,바로구운 빵,상당구,석교동
20110826,1,0,몽블랑제2점행사매대,청원구,오창읍
20111109,1,0,베이커리하우스,상당구,용암동
20111117,1,0,뚜레쥬르 가경주공점1,흥덕구,가경동
20111117,1,0,뚜레쥬르 가경주공점2,흥덕구,가경동
20111125,1,0,파리바게뜨분평점2,서원구,분평동
20121123,1,0,뚜레쥬르 충대중문점,서원구,사창동
20121128,1,0,뚜레쥬르충북대중문점(4층),서원구,사창동
20121206,1,0,떡담청주율량점,청원구,율량동
20121218,1,0,파리바게트(청주용암덕일),상당구,용암동
20130117,1,0,미코베이커리,서원구,분평동
19920820,1,0,고려베이커리,흥덕구,복대동
19941205,1,0,뚜레쥬르,상당구,용암동
19950421,1,0,동네수제빵집,상당구,북문로2가
20110720,1,0,팡스팡스,흥덕구,복대동
20110816,1,0,몽블랑제(주)동청주점행사매대1,청원구,율량동
20150127,1,0,프레티올라,청원구,내덕동
20150127,1,0,한아름베이커리,청원구,내덕동
20150130,1,0,스위트빈,청원구,율량동
20150223,1,0,좋은아침베이커리,흥덕구,복대동
20150319,1,0,그래동 베이커리 카페,서원구,사직동
20150323,1,0,뚜레쥬르율량칸타빌점,청원구,주성동
20150515,1,0,케익하우스,청원구,율량동
20150527,1,0,캉파뉴,흥덕구,가경동
20111208,1,0,D마트 베이커리,상당구,미원면
20120125,1,0,파리바게뜨성화2호점,서원구,성화동
20120201,1,0,몽블랑제청주2호점,흥덕구,가경동
20120201,1,0,뚜레쥬르청원내수점,청원구,내수읍
20150930,1,0,파리바게뜨율량2지구점,청원구,율량동
20151014,1,0,자매상회,상당구,북문로2가
20151020,1,0,뚜레쥬르 율량제일점,청원구,율량동
20151020,1,0,파리바게뜨 신오창점,청원구,오창읍
20151027,1,0,파리바게트공군사관학교점,상당구,남일면
20040419,1,0,파리바게뜨용암효성점,상당구,용암동
20040612,1,0,몽블랑제청주점,흥덕구,가경동
20041022,1,0,호미베이커리,상당구,탑동
19941026,1,0,파리바게뜨개신점,서원구,개신동
20100617,1,0,파리바게트 청주강내점,흥덕구,강내면
20100625,1,0,빵이 가득한 집,상당구,남일면
19960322,1,0,프랑시앙바게뜨,서원구,수곡동
20101216,1,0,파리바게뜨오송점,흥덕구,오송읍
20150710,1,0,오븐스토리,상당구,금천동
20150727,1,0,뚜레쥬르 오창산업단지점,청원구,오창읍
20150804,1,0,빵굽는마미갸또,서원구,분평동
20050415,1,0,파리바게뜨 청주IP,흥덕구,봉명동
20100719,1,0,파리바게뜨청원옥산점,흥덕구,옥산면
20100722,1,0,충북재활원보호작업장,흥덕구,신봉동
20100805,1,0,파리바게뜨(청주가경시장점),흥덕구,복대동
20100920,1,0,파리바게뜨 청주복대점,흥덕구,복대동
20101029,1,0,몽블랑제오송점,흥덕구,오송읍
20101116,1,0,파리바게뜨청원오창점,청원구,오창읍
20140217,1,0,뚜레쥬르청주성모병원점,청원구,주중동
20110112,1,0,파리바게뜨산남주공점,서원구,수곡동
20110118,1,0,파리바게뜨청주사천2호점,청원구,사천동
20110119,1,0,빚은청주산남점,서원구,산남동
20110121,1,0,파리바게뜨복대지웰점,흥덕구,복대동
20110211,1,0,바누아투과자점,흥덕구,복대동
20110225,1,0,뚜레쥬르충북오송점,흥덕구,오송읍
20110228,1,0,뚜레쥬르,서원구,분평동
20110304,1,0,던킨도너츠 청주터미널점,흥덕구,가경동
20110321,1,0,코코호두(산남점),서원구,산남동
20140721,1,0,르뽀미에청주율량점,청원구,율량동
20140725,1,0,라플란드(Lapland),상당구,북문로1가
20140304,1,0,뚜레쥬르봉명점,흥덕구,봉명동
20140307,1,0,좋은아침(성화점),서원구,성화동
20140317,1,0,착한빵집,서원구,모충동
20140331,1,0,뚜레쥬르청주공단오거리점,흥덕구,복대동
20140408,1,0,브레드하임,청원구,내덕동
20140411,1,0,김태환베이커리,청원구,사천동
20140416,1,0,홈플러스(주)베이커리,상당구,금천동
20140421,1,0,파리바게뜨청주용암현대점,상당구,용암동
20140428,1,0,좋은아침,상당구,북문로1가
20140508,1,0,뚜레쥬르청주지웰시티점,흥덕구,복대동
20140513,1,0,좋은아침율량점,청원구,주중동
20140717,1,0,동짓날(좋은아침),서원구,분평동
20050607,1,0,빽다방 충북대중문점,서원구,사창동
20080603,1,0,파리바게트(청주비하점),흥덕구,비하동
20080716,1,0,파리바게뜨(청주금천점),상당구,금천동
20051202,1,0,떡보의하루,상당구,문화동
20060125,1,0,뚜레쥬르개신주공점,서원구,개신동
20060125,1,0,파리바게트가경대우점,흥덕구,가경동
20080723,1,0,파리바게트(성화점),서원구,성화동
20081103,1,0,명인당본점 천안전통호두과자,서원구,사창동
20081127,1,0,뚜레쥬르강서점,흥덕구,가경동
20081215,1,0,파리바게뜨청주강서점,흥덕구,가경동
20081226,1,0,홈플러스(주)베이커리,상당구,서문동
20090210,1,0,파리바게뜨금천뉴타운,상당구,금천동
19901205,1,0,베이커리스쿨,흥덕구,복대동
19910207,1,0,파리바게뜨분평우성점,서원구,분평동
19920117,1,0,뚜레쥬르청주개신1호점,서원구,개신동
19920312,1,0,파리바게뜨 율량점,청원구,율량동
20091214,1,0,파리바게뜨북문점,상당구,북문로2가
20100210,1,0,파리바게뜨용암건영,상당구,용암동
20100420,1,0,파리바게뜨분평행복점,서원구,분평동
20100428,1,0,뚜레쥬르비하계룡점,흥덕구,비하동
20100617,1,0,파리바게뜨사직캐슬점,서원구,사직동
20130731,1,0,뚜레쥬르 청주용정점,상당구,용정동
20130814,1,0,떡담 청주분평점,서원구,분평동
20130902,1,0,좋은아침(금천점),상당구,용담동
20130910,1,0,기분좋은날,청원구,오창읍
20060320,1,0,빵쟁이네,흥덕구,봉명동
20131114,1,0,파리바게뜨 청주율량타운,청원구,주중동
20140213,1,0,파리바게뜨청주율량칸타빌점,청원구,주성동
20060508,1,0,뚜레쥬르 청주사천점,청원구,사천동
20060509,1,0,몽블랑제(주)동청주점,청원구,율량동
20060511,1,0,그린하우스,청원구,오창읍
20060602,1,0,뚜레쥬르 오창한라점,청원구,오창읍
20060609,1,0,파리바케트오창쌍용점,청원구,오창읍
20060906,1,0,파리바게트오창중앙점,청원구,오창읍
20061002,1,0,파리바게트모충점,서원구,모충동
20061204,1,0,뚜레쥬르용암부영점,상당구,용암동
19760303,1,0,케익 작업실. 슈가크래프트,흥덕구,복대동
20181017,1,0,파리바게뜨청주용정점,상당구,용정동
20181119,1,0,뚜레쥬르(청주방서점),상당구,방서동
20181218,1,0,파리바게뜨오창롯데캐슬,청원구,오창읍
20201210,1,0,봄내음,흥덕구,가경동
20201216,1,0,뚜레쥬르 청주터미널점2,흥덕구,가경동
20201216,1,0,뚜레쥬르 청주터미널점,흥덕구,가경동
20201202,1,0,포블리스빵공방,서원구,남이면
20201222,1,0,해피투유(happy to you),흥덕구,봉명동
20210104,1,0,파리바게뜨 서현홍골지구점,흥덕구,가경동
20201124,1,0,그린브라우니 가경점,흥덕구,가경동
20201229,1,0,경주제과 죽암(부산)휴게소점,서원구,현도면
20201218,1,0,방서동디저트,상당구,방서동
20190128,2,20190227,머거보라,흥덕구,가경동
20190328,2,20200819,정성용빠네떼리아,상당구,방서동
20190409,2,20200310,빵굽는마을,흥덕구,오송읍
20190424,2,20210331,팔구빵집,상당구,북문로2가
20190926,2,20190930,베즐리,흥덕구,복대동
20190829,2,20201201,퐁당케이크,상당구,북문로2가
20190807,2,20200810,파티세리 몽슈슈,흥덕구,복대동
20190725,2,20190729,베즐리,흥덕구,복대동
20190627,2,20190701,베즐리,흥덕구,복대동
20190813,2,20200622,플레이스38 오창점,청원구,오창읍
20191112,2,20210824,빵굽는집,흥덕구,복대동
20200103,2,20200106,로티서울,흥덕구,복대동
20200116,2,20200120,베즐리,흥덕구,복대동
20200310,2,20200316,흥흥,흥덕구,복대동
20200220,2,20200224,베즐리,흥덕구,복대동
20200120,2,20210615,소복빵집,흥덕구,비하동
20200521,2,20210702,미로제과점,청원구,주중동
20200521,2,20200525,베즐리 청주,흥덕구,복대동
20200511,2,20210830,매일베이커리하우스,흥덕구,복대동
20200722,2,20210715,좋은제과,청원구,오창읍
20200820,2,20200918,파리바게트 청주공항점,청원구,내수읍
20210506,2,20210513,애플베리,흥덕구,복대동
20210604,2,20210817,루빵공장(ROOFTOP BREAD FACTORY),상당구,방서동
20210621,2,20210704,나정빵집,흥덕구,복대동
20180928,2,20191216,팡조우(브레드조우),흥덕구,복대동
20121107,2,20180907,바로구운 빵,서원구,개신동
20200917,2,20210826,쿠키유,흥덕구,봉명동
20200915,2,20210416,청주당 베이커리,서원구,산남동
20201020,2,20210616,미로제과점,청원구,주성동
20201029,2,20201124,그린브라우니 가경점,흥덕구,가경동
20061208,2,20180406,육거리제과,상당구,남문로1가
19991028,2,20080711,성심푸드몰,서원구,사창동
19870626,2,20011130,뉴태극당,서원구,사직동
20090917,2,20111216,블루리본팩토리,상당구,용담동
20101028,2,20170531,홈플러스익스프레스용암점,상당구,용암동
20010531,2,20140801,던킨도너츠분평점,서원구,분평동
19950727,2,20051220,푸른밀베이커리,청원구,율량동
19971001,2,20110427,박황규베이커리,흥덕구,복대동
20110718,2,20140421,좋은빵만들기,서원구,산남동
20011024,2,20061026,그랑프리베이커리,흥덕구,복대동
20011120,2,20090401,빠라디베이커리,상당구,금천동
20011130,2,20060516,나눔베이커리,상당구,금천동
20011211,2,20130204,브로뜨과자점,청원구,내덕동
20011212,2,20110223,케잌속의 사랑,흥덕구,복대동
20011213,2,20090630,하얀풍차,서원구,분평동
20020125,2,20020125,이딸리아베이커리,흥덕구,복대동
20020219,2,20071121,파리베이커리,청원구,율량동
20020220,2,20040326,고려당,서원구,분평동
20020502,2,20030811,오씨엘,흥덕구,복대동
20020503,2,20190402,소풍베이커리,청원구,율량동
20020504,2,20080422,소보로군과 슈크림양,서원구,모충동
20020510,2,20161221,따삐오,상당구,금천동
20020524,2,20070405,빵가마과자점,서원구,개신동
20020529,2,20050517,밀탑베이커리,흥덕구,복대동
20020530,2,20040225,프렌치키스아이스크림,서원구,사창동
20020615,2,20041231,무나키샬레,서원구,분평동
20020720,2,20081120,수아제과,상당구,문의면
20020820,2,20070326,빵마을,서원구,사창동
20020827,2,20060320,크라운베이커리(분평점),서원구,분평동
20020830,2,20070913,(주)크라운베이커리,상당구,용암동
20020903,2,20100615,브리앙뜨베이커리,흥덕구,복대동
20170623,2,20180716,코코브레드,상당구,석교동
20170710,2,20200908,봄브레드(Bom Bread),서원구,죽림동
20170801,2,20190729,봄눈슬듯,흥덕구,복대동
20170807,2,20200701,퐁드깜바뉴,상당구,북문로1가
20170904,2,20180702,미원제과,상당구,미원면
20170918,2,20210219,박종은베이커리,청원구,내수읍
20170926,2,20171011,매그놀리아코리아 충청점,흥덕구,복대동
20171017,2,20181106,기녀밀 애(愛),흥덕구,봉명동
20171113,2,20201008,좋은아침페스츄리오창점,청원구,오창읍
20021022,2,20080225,브레첼베이커리,흥덕구,봉명동
20021126,2,20160615,시장베이커리,흥덕구,복대동
20021127,2,20030515,윌베이커리,서원구,개신동
20021204,2,20070501,크라운베이커리금천점,상당구,금천동
20021217,2,20090831,조코조코베이커리,상당구,용암동
20030116,2,20050825,빵빵한베이커리,흥덕구,가경동
20030128,2,20140818,1004베이커리,청원구,내수읍
20030227,2,20030325,한미식품,흥덕구,봉명동
20030227,2,20030325,한미식품,서원구,수곡동
20030324,2,20050923,뚜레쥬르 청주남문점,상당구,남문로2가
20171121,2,20200102,제이더블유브레드(J.W.BrEAd),서원구,성화동
20180123,2,20200210,디유(D.U),흥덕구,옥산면
20180124,2,20190101,식빵이맛있는집네모(개신점),서원구,개신동
20180213,2,20210219,매일식빵,흥덕구,복대동
20180403,2,20200730,카페롤&브레드대부,청원구,내덕동
20180516,2,20181022,카페롤&브레드대부,청원구,율량동
20180706,2,20200609,국향제과,상당구,북문로2가
20180803,2,20210317,모퉁이제과점,청원구,율량동
20030414,2,20140103,가또쇼콜라(분평점),서원구,분평동
20030414,2,20061128,빵이야기,흥덕구,운천동
20030509,2,20060609,던킨도넛츠,흥덕구,가경동
20030516,2,20110419,우리밀제과,서원구,분평동
20030724,2,20071029,케이크플러스,서원구,개신동
20030730,2,20070220,현대한식품,서원구,사직동
20030801,2,20130708,크라운베이커리 용암덕일점,상당구,용암동
20030806,2,20031105,아이허생과일아이스크림,흥덕구,복대동
20030808,2,20111207,뚜레쥬르 청주금천점,상당구,금천동
20030825,2,20110506,우리밀식품,상당구,용암동
20030904,2,20170714,델리스제과,흥덕구,가경동
20030927,2,20060609,크라운베이커리하복대점,흥덕구,복대동
20031010,2,20031020,빵빵한베이커리,서원구,사직동
20031014,2,20100114,크라운베이커리우성점,서원구,분평동
20031024,2,20120419,쁘띠푸르,상당구,금천동
20031030,2,20051228,케잌카페끌리앙,상당구,남문로2가
20031120,2,20051230,샤르망베이커리,상당구,용담동
20031124,2,20070116,우리밀베이커리,상당구,남문로2가
20031216,2,20140304,크레시앙 베이커리,상당구,용암동
20031217,2,20080422,브로뜨빵,흥덕구,복대동
20031223,2,20051129,해피데이,청원구,율량동
20010321,2,20020927,크라운베이커리운천점,흥덕구,신봉동
20010327,2,20031008,떼르드글라스,서원구,분평동
20010416,2,20060102,크라운베이커리,상당구,남문로2가
20010419,2,20111219,전형구베이커리,청원구,오창읍
20010424,2,20040421,빵집이야기,서원구,사직동
20010509,2,20040528,프랑시앙바게뜨,흥덕구,복대동
20010525,2,20040826,진미당,서원구,분평동
20010628,2,20080213,던킨도너츠사창점,서원구,사창동
20010718,2,20121015,코스모베이커리,청원구,내덕동
20010829,2,20030326,뤼데스하임,서원구,수곡동
20010912,2,20101202,빵굽는동네,상당구,용암동
20140731,2,20150304,봄눈케이크,청원구,오창읍
20140818,2,20150811,바누아투과자점,흥덕구,복대동
20140822,2,20191206,YUNI'S cake(유니스케이크),서원구,사직동
20140912,2,20190705,좋은아침(가경점),흥덕구,가경동
20141014,2,20201103,보미제과,청원구,율량동
20141128,2,20151106,끌리앙스베이커리,서원구,산남동
20141128,2,20160711,앤티앤스,상당구,남문로2가
20141217,2,20201229,꼬마식빵,서원구,수곡동
20141226,2,20191106,김관식빵집,서원구,사창동
20141229,2,20180813,유니크(unique),흥덕구,강서동
