인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20190109,1,,충청북도 청주시 상당구 서문동 157-14,홈플러스(주)베이커리행사매대,제과점영업,상당구,서문동
20190214,1,,충청북도 청주시 청원구 주중동 1054번지 103호,미쓰콩,제과점영업,청원구,주중동
20190521,1,,충청북도 청주시 서원구 분평동 1258,파리바게뜨분평주은,제과점영업,서원구,분평동
20190520,1,,충청북도 청주시 상당구 수동 315-24번지 1층,종달새빵집,제과점영업,상당구,수동
20190513,1,,충청북도 청주시 흥덕구 송절동 850번지 테크노폴리스우미린,뚜레쥬르 테크노폴리스점,제과점영업,흥덕구,송절동
20190620,1,,충청북도 청주시 흥덕구 가경동 1416-2 대우 메가폴리스,베이커리팩토리 청주점,제과점영업,흥덕구,가경동
20190404,1,,충청북도 청주시 상당구 용암동 2689번지 1층,청주마카롱,제과점영업,상당구,용암동
20190806,1,,충청북도 청주시 흥덕구 옥산면 가락리 265번지,뚜레쥬르,제과점영업,흥덕구,옥산면
20160720,1,,충청북도 청주시 상당구 북문로2가 65-2번지 1층,안셈,제과점영업,상당구,북문로2가
20190820,1,,충청북도 청주시 흥덕구 오송읍 연제리 718번지 오송생명타워,오송빵집,제과점영업,흥덕구,오송읍
20191216,1,,충청북도 청주시 흥덕구 가경동 1669번지,식빵공장,제과점영업,흥덕구,가경동
20191227,1,,충청북도 청주시 서원구 사창동 423번지 1층,선물같은오늘,제과점영업,서원구,사창동
20191129,1,,충청북도 청주시 흥덕구 봉명동 1817-1,프레레(frere),제과점영업,흥덕구,봉명동
20200107,1,,충청북도 청주시 상당구 대성동 98번지 1층,본정,제과점영업,상당구,대성동
20191111,1,,충청북도 청주시 청원구 오창읍 양청리 786-1번지,용수베이커리,제과점영업,청원구,오창읍
20141226,1,,충청북도 청주시 상당구 영동 93-1번지 1층,김관식빵집,제과점영업,상당구,영동
20200116,1,,"충청북도 청주시 서원구 사직동 765 1,2층",흥덕제과,제과점영업,서원구,사직동
20200310,1,,충청북도 청주시 청원구 우암동 156-19번지,구움(GUUM),제과점영업,청원구,우암동
20200114,1,,충청북도 청주시 청원구 주중동 965번지,LEVAIN200(르뱅200),제과점영업,청원구,주중동
20200210,1,,충청북도 청주시 흥덕구 옥산면 가락리 977번지,파리바게뜨 옥산파크자이,제과점영업,흥덕구,옥산면
20200311,1,,충청북도 청주시 흥덕구 오송읍 만수리 527번지 오송농협,빵굽는 마을,제과점영업,흥덕구,오송읍
20200203,1,,충청북도 청주시 상당구 용암동 2534번지 1층 102호,브리스브레드,제과점영업,상당구,용암동
20200407,1,,충청북도 청주시 상당구 용암동 2942-111번지 시티프라디움 1단지 상가1동 107호,파리바게뜨청주동남씨티점,제과점영업,상당구,용암동
20200421,1,,"충청북도 청주시 상당구 북문로3가 44-1번지 106,107,108호",모린인더가든,제과점영업,상당구,북문로3가
